date,open,high,low,close,volume,amount
2021-02-05,3819.8,3876.68,3808.17,3840.77,41583744.0,10627749.0
2021-02-08,3856.94,3896.54,3835.1,3890.47,33339892.0,9819639.0
2021-02-09,3900.86,3952.94,3871.79,3952.83,32740060.0,9773806.0
2021-02-10,3967.68,4039.23,3967.36,4028.53,38958604.0,10857184.0
2021-02-18,4097.87,4110.18,3996.63,4014.32,51203084.0,14136595.0
2021-02-19,3994.83,4023.88,3956.98,4014.46,42899728.0,12314983.0
2021-02-22,4020.01,4020.01,3879.48,3881.87,58726428.0,14696758.0
2021-02-23,3854.16,3942.09,3854.16,3897.72,43455612.0,10896211.0
2021-02-24,3902.36,3910.01,3766.6,3805.47,39343932.0,12359553.0
2021-02-25,3844.62,3878.21,3818.71,3851.03,46688984.0,11890708.0
2021-02-26,3768.9,3819.04,3753.44,3756.86,41573104.0,11371060.0
2021-03-01,3793.37,3795.05,3747.58,3787.87,33657708.0,9843937.0
2021-03-02,3812.35,3812.35,3689.01,3718.77,35216196.0,10547027.0
2021-03-03,3710.26,3818.07,3708.23,3817.41,36579580.0,9518832.0
2021-03-04,3769.97,3781.28,3686.09,3708.66,36373720.0,10581412.0
2021-03-05,3655.91,3721.28,3627.29,3688.68,36137584.0,9387050.0
2021-03-08,3713.46,3732.78,3571.42,3573.43,41752976.0,10908533.0
2021-03-09,3570.26,3595.19,3489.97,3509.61,42344060.0,11578244.0
2021-03-10,3563.56,3572.37,3528.32,3532.05,28096288.0,8169893.0
2021-03-11,3554.68,3633.77,3554.68,3625.31,31056230.0,8751229.0
2021-03-12,3647.51,3647.51,3600.39,3632.58,35139700.0,8435791.0
2021-03-15,3620.04,3627.31,3539.49,3566.88,37488832.0,9227842.0
2021-03-16,3579.01,3608.11,3556.62,3599.16,28394040.0,7202366.5
2021-03-17,3588.23,3616.94,3552.49,3590.83,26229564.0,7177153.5
2021-03-18,3598.85,3619.33,3586.5,3605.6,23406868.0,6511379.5
2021-03-19,3565.09,3573.06,3496.38,3512.02,34681296.0,7724896.5
2021-03-22,3516.66,3558.94,3511.72,3538.43,26393424.0,6648200.5
2021-03-23,3541.33,3542.82,3482.59,3516.36,25310916.0,6238022.0
2021-03-24,3507.55,3528.73,3457.44,3466.04,25639804.0,6475031.0
2021-03-25,3454.46,3479.13,3439.51,3463.87,23261828.0,5697795.5
2021-03-26,3483.69,3539.23,3480.33,3529.73,24810848.0,7268132.5
2021-03-29,3543.25,3563.4,3510.41,3537.71,28205828.0,7338497.0
2021-03-30,3541.38,3582.02,3531.63,3577.24,25778956.0,6975508.5
2021-03-31,3573.86,3573.86,3518.17,3539.37,29985300.0,7272100.0
2021-04-01,3547.46,3586.36,3545.09,3582.65,21357740.0,5593223.5
2021-04-02,3592.88,3616.8,3583.04,3616.76,23396736.0,6665966.5
2021-04-06,3624.8,3624.8,3581.76,3594.71,17974468.0,5645132.0
2021-04-07,3593.17,3593.17,3537.06,3558.47,22800012.0,6223878.0
2021-04-08,3541.06,3582.91,3533.32,3573.04,19473454.0,5387485.0
2021-04-09,3564.66,3565.22,3504.49,3514.11,19685860.0,5580682.0
2021-04-12,3505.71,3520.73,3465.65,3477.07,24855006.0,6736043.0
2021-04-13,3483.01,3505.39,3448.57,3461.46,21074332.0,5898049.5
2021-04-14,3469.4,3484.06,3442.23,3469.17,19500312.0,6023540.5
2021-04-15,3456.55,3456.55,3399.76,3431.49,21262700.0,6430825.5
2021-04-16,3445.09,3456.72,3411.1,3448.1,18688056.0,5486265.0
2021-04-19,3449.05,3515.88,3426.82,3513.4,27193464.0,7759157.0
2021-04-20,3496.81,3532.79,3491.89,3510.12,21176620.0,6663394.5
2021-04-21,3493.79,3524.54,3488.49,3516.1,20750102.0,5996686.0
2021-04-22,3521.98,3524.71,3477.06,3487.43,22679140.0,5812069.5
2021-04-23,3487.12,3533.23,3482.86,3524.02,20552368.0,6488823.5
2021-04-26,3540.53,3548.21,3462.16,3467.66,25863228.0,8049026.0
2021-04-27,3469.98,3482.6,3450.02,3476.3,20804166.0,6135372.0
2021-04-28,3457.17,3473.04,3440.2,3473.04,22451260.0,7751645.0
2021-04-29,3483.1,3519.83,3468.62,3517.21,31480524.0,8371373.0
2021-04-30,3518.86,3522.61,3471.38,3491.19,34026552.0,8647376.0
2021-05-06,3475.05,3510.4,3443.31,3449.94,29933428.0,9004747.0
2021-05-07,3457.91,3470.52,3402.08,3406.31,30092528.0,8212226.0
2021-05-10,3410.01,3416.03,3371.13,3399.99,28048888.0,6875042.0
2021-05-11,3380.63,3443.36,3371.47,3437.71,24935740.0,7127150.5
2021-05-12,3423.42,3456.07,3421.66,3447.86,23689680.0,5956657.5
2021-05-13,3418.58,3435.45,3395.81,3413.89,21882668.0,6067001.0
2021-05-14,3426.43,3504.65,3406.71,3503.04,34527248.0,9532370.0
2021-05-17,3502.74,3556.49,3502.21,3539.91,30165092.0,9243118.0
