date,open,high,low,close,volume,amount
2021-02-05,15167.64,15250.1,14996.29,15007.3,319867072.0,49371584.0
2021-02-08,15066.46,15299.65,14945.84,15269.63,283194240.0,44700912.0
2021-02-09,15330.3,15635.38,15275.39,15630.57,294171488.0,46578596.0
2021-02-10,15702.2,16010.41,15632.14,15962.25,282691200.0,48267420.0
2021-02-18,16275.98,16293.09,15697.72,15767.44,368451360.0,60164244.0
2021-02-19,15660.5,15840.16,15443.24,15823.11,389976832.0,55758316.0
2021-02-22,15818.77,15818.77,15336.95,15336.95,499458720.0,69409248.0
2021-02-23,15174.72,15411.03,15146.89,15243.25,401025760.0,54190140.0
2021-02-24,15281.4,15318.85,14709.13,14870.67,390506016.0,57947148.0
2021-02-25,15016.63,15036.42,14794.73,14828.8,359680064.0,48943740.0
2021-02-26,14480.74,14713.12,14396.45,14507.45,344992192.0,48235048.0
2021-03-01,14670.11,14864.58,14614.01,14857.34,345047808.0,47071104.0
2021-03-02,14958.22,14987.07,14616.16,14751.12,356856960.0,48984180.0
2021-03-03,14679.84,14932.39,14612.85,14932.39,355072928.0,44769476.0
2021-03-04,14780.91,14780.91,14357.19,14416.06,394178208.0,50980576.0
2021-03-05,14156.01,14531.99,14122.59,14412.31,380476064.0,46759516.0
2021-03-08,14513.79,14597.75,13859.95,13863.81,403293216.0,52542772.0
2021-03-09,13803.25,13844.23,13289.38,13475.72,423614112.0,53055116.0
2021-03-10,13721.24,13750.26,13480.42,13563.34,325268736.0,41017268.0
2021-03-11,13598.2,13904.47,13535.25,13866.37,345876224.0,43417028.0
2021-03-12,13934.24,13934.24,13716.01,13897.03,366137376.0,43502128.0
2021-03-15,13793.52,13793.52,13389.98,13520.07,351060352.0,42535936.0
2021-03-16,13574.56,13652.55,13439.73,13642.96,355582240.0,40311668.0
2021-03-17,13605.78,13842.88,13490.42,13809.77,346990400.0,40420664.0
2021-03-18,13850.6,14003.77,13832.7,13963.92,345470208.0,42021764.0
2021-03-19,13738.21,13837.23,13522.94,13606.0,351980672.0,43212088.0
2021-03-22,13605.7,13797.3,13565.17,13760.97,363207360.0,42736064.0
2021-03-23,13754.88,13794.47,13506.17,13607.27,378170304.0,44510896.0
2021-03-24,13529.94,13651.9,13378.88,13407.35,357167264.0,41755576.0
2021-03-25,13318.97,13489.29,13252.24,13421.16,337049760.0,38573744.0
2021-03-26,13493.36,13810.97,13493.36,13769.68,339769120.0,42555404.0
2021-03-29,13802.51,13895.61,13684.43,13771.26,347038112.0,42990080.0
2021-03-30,13751.21,13933.32,13717.59,13888.44,344889728.0,41772680.0
2021-03-31,13870.71,13870.71,13678.67,13778.67,308122496.0,37326316.0
2021-04-01,13812.64,13992.75,13808.32,13979.69,303689984.0,36503308.0
2021-04-02,14042.13,14178.1,14008.85,14122.61,316316992.0,39876472.0
2021-04-06,14176.21,14194.36,14045.92,14083.34,306757408.0,37387532.0
2021-04-07,14100.85,14100.85,13856.97,13979.31,353677760.0,41636912.0
2021-04-08,13906.82,14037.45,13845.12,13989.94,371928896.0,41926636.0
2021-04-09,13965.21,13977.28,13769.19,13813.31,330726176.0,38824524.0
2021-04-12,13811.59,13867.16,13454.27,13495.72,358670592.0,43682140.0
