date,open,high,low,close,volume,amount
2021-08-02,2313.0,2357.83,2313.0,2357.83,16123.0,20.05
2021-08-03,2352.51,2366.34,2327.18,2332.93,16914.0,20.33
2021-08-04,2329.8,2370.49,2329.8,2370.24,14485.0,17.82
2021-08-05,2362.64,2362.64,2337.68,2348.5,15117.0,18.03
2021-08-06,2349.29,2359.73,2336.93,2359.69,14348.0,17.18
2021-08-09,2355.61,2377.96,2347.45,2377.96,14176.0,17.38
2021-08-10,2374.05,2406.29,2374.05,2398.39,15684.0,19.64
2021-08-11,2396.9,2424.05,2391.96,2424.05,16857.0,20.0
2021-08-12,2422.41,2438.99,2418.98,2434.1,16878.0,20.42
2021-08-13,2427.11,2439.21,2423.72,2437.34,16839.0,20.23
2021-08-16,2434.46,2439.26,2420.13,2425.7,16646.0,20.19
2021-08-17,2420.76,2420.76,2350.11,2354.73,17808.0,20.46
2021-08-18,2350.43,2381.84,2350.43,2379.68,15079.0,17.53
2021-08-19,2372.88,2384.71,2348.12,2373.58,14558.0,17.04
2021-08-20,2365.42,2373.1,2342.08,2370.57,14128.0,17.06
2021-08-23,2376.54,2442.53,2376.54,2442.41,16599.0,19.89
2021-08-24,2444.71,2456.63,2438.36,2452.1,17600.0,21.13
2021-08-25,2448.36,2474.31,2448.36,2474.31,16801.0,20.13
2021-08-26,2470.8,2478.77,2460.53,2460.53,18434.0,21.6
2021-08-27,2451.02,2458.38,2435.78,2457.44,17763.0,21.08
2021-08-30,2455.07,2477.88,2455.07,2466.31,18191.0,22.04
2021-08-31,2462.24,2464.03,2441.14,2458.86,16908.0,20.15
2021-09-01,2461.85,2464.82,2395.53,2416.95,18618.0,21.25
2021-09-02,2408.21,2460.43,2408.21,2460.4,16669.0,19.07
2021-09-03,2460.35,2499.14,2443.88,2459.91,19138.0,21.78
2021-09-06,2461.43,2478.97,2432.78,2478.91,16528.0,19.17
2021-09-07,2478.93,2514.44,2478.93,2514.44,17291.0,19.61
2021-09-08,2518.79,2539.68,2518.79,2539.68,19965.0,21.71
2021-09-09,2535.01,2539.08,2520.88,2532.6,19630.0,21.47
2021-09-10,2532.19,2532.19,2504.62,2517.89,19043.0,20.81
2021-09-13,2520.14,2537.61,2511.08,2537.61,17924.0,20.3
