date,open,high,low,close,volume,amount
2021-02-05,96.98,98.37,95.0,97.25,37262392.0,360045.59
2021-02-08,97.26,97.5,94.4,96.66,37743564.0,361440.22
2021-02-09,97.59,101.9,96.89,101.9,53712248.0,534705.44
2021-02-10,102.92,108.0,101.5,107.11,53679908.0,564181.38
2021-02-18,107.12,107.36,97.0,98.3,94042912.0,943365.25
2021-02-19,95.01,98.33,95.01,97.99,69387712.0,672220.44
2021-02-22,97.28,97.28,90.38,90.44,90398608.0,832414.88
2021-02-23,89.05,92.0,88.83,90.94,60475532.0,549466.69
2021-02-24,96.1,98.6,93.12,95.02,100354632.0,958792.94
2021-02-25,94.9,95.79,92.1,93.94,41637020.0,393405.28
2021-02-26,92.0,94.49,91.02,93.08,60112304.0,556908.44
2021-03-01,93.4,95.3,91.83,93.33,37084400.0,347517.56
2021-03-02,94.87,95.84,92.7,93.52,47339824.0,446931.75
2021-03-03,92.73,93.72,91.5,93.49,33059188.0,307226.91
2021-03-04,92.22,92.58,89.44,89.9,44634820.0,404185.63
2021-03-05,87.57,90.27,86.03,89.5,40948708.0,362610.75
2021-03-08,88.5,89.71,85.44,85.5,48829340.0,426090.5
2021-03-09,84.65,84.9,81.7,81.99,56896332.0,474176.78
2021-03-10,84.0,84.66,82.05,83.66,47316764.0,394294.41
2021-03-11,84.58,86.5,83.5,85.95,40811644.0,349557.91
2021-03-12,85.97,88.03,85.21,85.96,32364532.0,280604.81
2021-03-15,84.81,84.84,81.0,82.3,49051384.0,403589.59
2021-03-16,82.41,83.03,81.55,82.58,34926116.0,287725.38
2021-03-17,82.01,84.28,81.36,84.07,37095228.0,308157.47
2021-03-18,84.98,87.0,84.8,86.71,34703588.0,298637.25
2021-03-19,85.0,86.6,84.39,85.31,30529184.0,261007.39
2021-03-22,84.99,85.53,82.3,83.38,31409284.0,262096.95
2021-03-23,83.38,83.44,81.07,81.47,36969596.0,302747.78
2021-03-24,81.5,82.48,81.26,81.68,23536758.0,192370.94
2021-03-25,81.07,81.5,79.3,80.68,24752484.0,199060.78
2021-03-26,81.1,82.5,79.96,82.01,31083020.0,253334.06
2021-03-29,81.96,82.47,81.0,81.47,29453524.0,240653.64
2021-03-30,81.86,83.49,81.11,82.47,35197152.0,289806.22
2021-03-31,82.8,82.98,81.25,82.23,27352508.0,224561.84
2021-04-01,82.0,85.88,81.8,85.43,35204512.0,298762.13
2021-04-02,85.5,88.5,84.9,87.11,29152538.0,254624.52
2021-04-06,87.16,87.7,84.0,84.38,25766840.0,219097.86
2021-04-07,84.38,84.49,81.88,82.72,29977466.0,246781.83
2021-04-08,82.51,82.92,81.95,82.68,18211406.0,150212.91
