date,open,high,low,close,volume,amount
2021-08-16,53.565,69.8,52.3,62.055,3983494.186,
2021-08-17,62.087,75.0,58.677,64.169,4654781.901,
2021-08-18,64.209,80.55,59.772,72.736,5284962.631,
2021-08-19,72.703,75.496,68.339,72.831,2780702.829,
2021-08-20,72.803,80.0,70.926,78.746,2237442.953,
2021-08-21,78.72,82.044,72.672,73.937,1561200.394,
2021-08-22,73.896,77.64,71.321,72.809,919777.031,
2021-08-23,72.811,76.783,71.548,75.655,1353786.018,
2021-08-24,75.655,79.467,68.595,70.591,2213179.66,
2021-08-25,70.503,72.82,66.151,71.986,1664086.031,
2021-08-26,72.0,78.372,66.254,74.823,3107777.074,
2021-08-27,74.905,88.881,72.577,88.053,2938270.348,
2021-08-28,88.087,98.0,85.634,96.246,2092854.72,
2021-08-29,96.254,97.836,90.403,94.287,1382531.706,
2021-08-30,94.305,116.6,93.722,110.347,4791434.929,
2021-08-31,110.347,130.066,103.099,108.29,6557518.475,
2021-09-01,108.29,119.68,105.96,110.671,3442549.797,
2021-09-02,110.674,132.162,109.203,128.346,3311427.776,
2021-09-03,128.339,149.062,128.174,146.524,4579017.233,
2021-09-04,146.487,150.721,135.681,138.998,2581545.357,
2021-09-05,139.01,145.258,135.011,142.138,1848408.649,
2021-09-06,142.137,166.206,137.512,164.316,3112382.442,
2021-09-07,164.377,200.0,134.242,173.4,9199937.041,
2021-09-08,173.4,198.0,146.69,191.03,6756738.524,
2021-09-09,190.927,216.47,180.901,187.908,6536735.823,
2021-09-10,187.907,197.489,167.808,179.51,4013536.024,
2021-09-11,179.557,193.775,175.3,179.122,2638639.869,
2021-09-12,179.122,181.675,170.175,174.272,1620970.25,
2021-09-13,174.288,175.153,150.331,169.797,4089808.101,
2021-09-14,169.57,171.95,142.0,158.64,4242412.34,
2021-09-15,158.64,166.386,153.75,158.433,2604815.418,
2021-09-16,158.478,162.95,147.254,152.043,2056945.058,
2021-09-17,152.018,153.341,134.1,147.592,3754629.705,
2021-09-18,147.619,171.726,144.2,169.336,3950219.334,
2021-09-19,169.391,171.06,150.66,152.842,2365355.373,
2021-09-20,152.81,153.432,130.275,132.567,4576526.507,
2021-09-21,132.622,144.653,116.0,124.3,4647220.266,
2021-09-22,124.219,152.408,122.105,148.197,4596483.091,
2021-09-23,148.19,152.477,143.021,150.034,2203577.139,
2021-09-24,150.0,151.421,128.0,139.308,2948981.097,
2021-09-25,139.272,144.09,133.554,136.117,1164823.189,
2021-09-26,136.109,140.888,125.0,135.698,1490127.859,
2021-09-27,135.632,149.0,133.75,136.35,1726577.772,
2021-09-28,136.378,139.484,128.167,132.182,1352512.649,
2021-09-29,132.214,140.156,131.101,135.304,1627779.074,
2021-09-30,135.241,142.951,134.069,141.358,1465567.481,
2021-10-01,141.358,165.0,138.242,161.649,2216533.667,
2021-10-02,161.682,175.108,156.24,168.979,1698493.988,
2021-10-03,169.057,177.935,165.537,173.129,1326862.196,
2021-10-04,173.15,173.151,162.102,167.212,1442327.633,
2021-10-05,167.231,170.25,160.0,164.623,1500271.579,
2021-10-06,164.679,165.527,150.29,153.922,2138586.249,
2021-10-07,153.949,161.5,150.35,154.338,1709809.442,
2021-10-08,154.355,169.0,152.368,158.833,1679953.047,
2021-10-09,158.858,161.581,154.23,156.827,1039124.53,
2021-10-10,156.783,158.554,145.67,147.624,868755.423,
2021-10-11,147.637,154.0,140.175,144.853,1380478.104,
2021-10-12,144.854,153.626,137.66,152.452,2273847.701,
2021-10-13,152.441,155.549,144.344,148.039,1172944.074,
