date,open,high,low,close,volume,amount
2021-02-05,0.975,0.993,0.949,0.953,192995504.0,18718.71
2021-02-08,0.951,0.963,0.92,0.962,118127800.0,11156.04
2021-02-09,0.962,0.999,0.962,0.997,144147904.0,14251.12
2021-02-10,1.0,1.02,0.989,1.015,273452160.0,27594.91
2021-02-18,1.045,1.047,0.992,1.005,181220416.0,18313.3
2021-02-19,0.993,1.0,0.96,0.99,185790208.0,18167.01
2021-02-22,0.988,1.01,0.971,0.971,163735904.0,16202.75
2021-02-23,0.97,0.975,0.948,0.965,111968800.0,10784.68
2021-02-24,0.961,0.967,0.907,0.918,268209904.0,24983.75
2021-02-25,0.93,0.936,0.903,0.909,128290896.0,11749.0
2021-02-26,0.893,0.899,0.87,0.893,133507400.0,11834.25
2021-03-01,0.902,0.928,0.902,0.923,107616704.0,9864.23
2021-03-02,0.93,0.935,0.908,0.92,107515296.0,9925.43
2021-03-03,0.915,0.922,0.899,0.922,90224200.0,8213.17
2021-03-04,0.915,0.915,0.858,0.862,288482400.0,25257.84
2021-03-05,0.842,0.87,0.834,0.861,111846600.0,9543.79
2021-03-08,0.864,0.87,0.813,0.814,138349296.0,11607.27
2021-03-09,0.812,0.825,0.775,0.797,123778600.0,9919.63
2021-03-10,0.818,0.827,0.804,0.808,93025200.0,7579.57
2021-03-11,0.81,0.839,0.805,0.836,124910704.0,10335.61
2021-03-12,0.843,0.855,0.831,0.849,105116000.0,8881.15
2021-03-15,0.849,0.85,0.808,0.818,96580704.0,7942.55
2021-03-16,0.816,0.826,0.804,0.82,64540200.0,5273.44
2021-03-17,0.819,0.835,0.803,0.833,74614400.0,6160.23
2021-03-18,0.833,0.846,0.832,0.843,63703900.0,5353.44
2021-03-19,0.825,0.831,0.81,0.817,82271800.0,6741.43
2021-03-22,0.815,0.835,0.815,0.829,65111500.0,5390.12
2021-03-23,0.829,0.829,0.798,0.805,125454400.0,10123.02
2021-03-24,0.8,0.809,0.784,0.789,89171600.0,7058.45
2021-03-25,0.781,0.794,0.772,0.79,64342500.0,5038.42
2021-03-26,0.794,0.829,0.791,0.826,172720704.0,14095.17
2021-03-29,0.824,0.827,0.814,0.819,66349400.0,5453.27
2021-03-30,0.816,0.837,0.811,0.835,89598496.0,7428.32
2021-03-31,0.835,0.837,0.822,0.833,73434096.0,6091.34
2021-04-01,0.834,0.852,0.834,0.841,81708496.0,6888.98
2021-04-02,0.842,0.85,0.833,0.844,54444600.0,4586.18
2021-04-06,0.847,0.864,0.845,0.856,76427600.0,6537.22
2021-04-07,0.86,0.86,0.834,0.843,59535300.0,5008.79
2021-04-08,0.836,0.84,0.828,0.837,43009400.0,3593.75
2021-04-09,0.839,0.839,0.818,0.821,61750300.0,5091.2
2021-04-12,0.821,0.825,0.794,0.8,87092800.0,7003.23
2021-04-13,0.8,0.81,0.794,0.802,58967100.0,4726.99
2021-04-14,0.806,0.827,0.803,0.826,83400200.0,6821.73
2021-04-15,0.821,0.83,0.814,0.826,51133000.0,4206.64
2021-04-16,0.826,0.828,0.807,0.823,68563104.0,5599.49
2021-04-19,0.823,0.863,0.818,0.861,171943808.0,14622.68
2021-04-20,0.86,0.878,0.852,0.864,119214000.0,10351.39
2021-04-21,0.859,0.869,0.85,0.861,59748200.0,5137.87
2021-04-22,0.868,0.874,0.854,0.864,59295200.0,5132.7
2021-04-23,0.865,0.882,0.861,0.879,74691400.0,6542.68
2021-04-26,0.879,0.896,0.864,0.866,96611504.0,8511.69
2021-04-27,0.867,0.871,0.849,0.861,78664304.0,6748.36
2021-04-28,0.858,0.884,0.858,0.88,87650200.0,7655.61
2021-04-29,0.881,0.885,0.87,0.882,62087000.0,5458.68
2021-04-30,0.882,0.91,0.877,0.906,165111904.0,14856.53
2021-05-06,0.905,0.914,0.884,0.901,117040704.0,10536.09
2021-05-07,0.898,0.91,0.878,0.881,89699696.0,8004.82
2021-05-10,0.88,0.892,0.866,0.889,71504304.0,6318.99
2021-05-11,0.881,0.881,0.855,0.876,93688496.0,8124.72
2021-05-12,0.87,0.879,0.865,0.875,73034496.0,6374.5
2021-05-13,0.865,0.866,0.854,0.856,85372800.0,7323.78
2021-05-14,0.856,0.875,0.847,0.873,79351296.0,6848.64
2021-05-17,0.874,0.905,0.871,0.902,148187696.0,13284.26
2021-05-18,0.902,0.91,0.897,0.901,70137600.0,6325.32
2021-05-19,0.902,0.925,0.892,0.921,128872896.0,11801.99
2021-05-20,0.919,0.928,0.911,0.919,91063600.0,8369.76
2021-05-21,0.929,0.939,0.913,0.922,89792704.0,8311.34
2021-05-24,0.926,0.927,0.912,0.926,78838400.0,7261.52
2021-05-25,0.926,0.936,0.917,0.935,88663296.0,8230.13
2021-05-26,0.934,0.936,0.921,0.924,77460896.0,7180.1
2021-05-27,0.927,0.929,0.919,0.926,64211300.0,5937.65
2021-05-28,0.927,0.971,0.925,0.954,228100496.0,21866.84
2021-05-31,0.96,1.001,0.959,0.997,211259104.0,20869.7
2021-06-01,0.996,0.997,0.973,0.991,117635200.0,11602.98
2021-06-02,0.995,1.006,0.977,0.984,114424496.0,11345.21
2021-06-03,0.984,0.987,0.961,0.968,82687104.0,8041.86
2021-06-04,0.964,0.995,0.956,0.982,118466464.0,11645.94
2021-06-07,0.977,0.98,0.955,0.966,104612488.0,10102.47
2021-06-08,0.964,0.985,0.949,0.957,104021104.0,10012.71
2021-06-09,0.956,0.964,0.95,0.962,56336936.0,5399.81
2021-06-10,0.965,1.01,0.963,1.003,262603504.0,26192.94
2021-06-11,1.011,1.031,1.0,1.021,221101792.0,22550.22
2021-06-15,1.024,1.033,0.999,1.011,105748096.0,10706.39
2021-06-16,1.002,1.003,0.952,0.959,180261200.0,17495.55
2021-06-17,0.959,0.977,0.955,0.976,70394000.0,6828.13
2021-06-18,0.981,1.019,0.978,1.011,157365296.0,15782.26
2021-06-21,1.011,1.038,1.0,1.025,173265200.0,17761.19
2021-06-22,1.028,1.036,1.01,1.028,99874600.0,10236.48
2021-06-23,1.031,1.061,1.031,1.051,192234832.0,20190.04
2021-06-24,1.061,1.067,1.041,1.059,116427232.0,12322.77
2021-06-25,1.061,1.078,1.056,1.074,129925000.0,13876.65
2021-06-28,1.074,1.1,1.074,1.091,135168896.0,14761.99
2021-06-29,1.102,1.118,1.097,1.106,148860992.0,16472.56
2021-06-30,1.105,1.13,1.09,1.129,149319392.0,16681.27
2021-07-01,1.13,1.134,1.096,1.101,135726400.0,15059.98
2021-07-02,1.093,1.113,1.082,1.093,118461200.0,12981.19
2021-07-05,1.088,1.12,1.086,1.116,107667504.0,11905.07
2021-07-06,1.118,1.139,1.084,1.104,142782400.0,15857.84
2021-07-07,1.093,1.173,1.084,1.172,214490592.0,24536.15
2021-07-08,1.18,1.215,1.18,1.203,177719616.0,21343.44
2021-07-09,1.185,1.225,1.17,1.217,175034064.0,20898.72
2021-07-12,1.231,1.275,1.231,1.262,183893600.0,23032.68
2021-07-13,1.263,1.269,1.241,1.265,138130480.0,17357.61
2021-07-14,1.257,1.257,1.215,1.223,173009312.0,21324.48
2021-07-15,1.207,1.265,1.207,1.264,170041904.0,21102.67
2021-07-16,1.261,1.276,1.223,1.228,147797792.0,18452.39
2021-07-19,1.219,1.25,1.197,1.207,142971904.0,17422.41
2021-07-20,1.197,1.227,1.19,1.224,101905832.0,12395.97
2021-07-21,1.23,1.289,1.23,1.284,182785920.0,23135.72
2021-07-22,1.292,1.307,1.275,1.307,158281104.0,20420.15
2021-07-23,1.303,1.339,1.288,1.297,155083600.0,20294.88
2021-07-26,1.296,1.309,1.24,1.29,165419536.0,21187.64
2021-07-27,1.29,1.315,1.203,1.209,260174080.0,32810.96
2021-07-28,1.194,1.232,1.157,1.204,204231232.0,24500.59
2021-07-29,1.244,1.295,1.23,1.291,215228672.0,27202.89
2021-07-30,1.292,1.327,1.281,1.309,254821920.0,33239.1
2021-08-02,1.318,1.352,1.278,1.317,295578592.0,38929.5
2021-08-03,1.312,1.314,1.247,1.26,232013824.0,29450.28
2021-08-04,1.248,1.349,1.248,1.347,310881632.0,40928.13
2021-08-05,1.348,1.363,1.319,1.353,158228352.0,21234.72
2021-08-06,1.373,1.404,1.356,1.376,179143056.0,24682.6
2021-08-09,1.37,1.37,1.297,1.334,255862304.0,33736.08
2021-08-10,1.328,1.358,1.292,1.325,212827696.0,28186.29
2021-08-11,1.326,1.348,1.304,1.338,187009600.0,24880.61
2021-08-12,1.333,1.343,1.308,1.336,130660200.0,17318.39
2021-08-13,1.31,1.366,1.309,1.322,143173840.0,19114.07
2021-08-16,1.303,1.314,1.273,1.281,161594528.0,20782.62
2021-08-17,1.275,1.306,1.261,1.279,159364304.0,20496.11
2021-08-18,1.275,1.297,1.255,1.265,148154096.0,18830.83
2021-08-19,1.272,1.313,1.244,1.296,183987808.0,23535.14
2021-08-20,1.29,1.316,1.274,1.296,125640896.0,16255.74
2021-08-23,1.304,1.333,1.285,1.331,247204192.0,32569.78
2021-08-24,1.332,1.384,1.329,1.359,254922096.0,34721.37
2021-08-25,1.36,1.392,1.34,1.389,171641568.0,23461.65
2021-08-26,1.391,1.409,1.369,1.371,136878896.0,19001.07
2021-08-27,1.365,1.404,1.361,1.396,115958576.0,16085.76
2021-08-30,1.397,1.472,1.397,1.445,179371504.0,25847.3
2021-08-31,1.44,1.443,1.408,1.426,144093712.0,20474.35
2021-09-01,1.427,1.432,1.327,1.351,234617200.0,32082.16
2021-09-02,1.343,1.394,1.342,1.391,136572144.0,18819.85
2021-09-03,1.392,1.414,1.33,1.344,169687984.0,23239.79
2021-09-06,1.342,1.36,1.3,1.359,192892096.0,25727.1
2021-09-07,1.355,1.396,1.346,1.393,161579536.0,22274.46
2021-09-08,1.392,1.41,1.362,1.37,121023952.0,16742.47
2021-09-09,1.37,1.383,1.342,1.371,140258464.0,19109.15
2021-09-10,1.369,1.389,1.352,1.385,131092096.0,17970.82
2021-09-13,1.383,1.391,1.35,1.361,127527376.0,17406.82
2021-09-14,1.363,1.402,1.335,1.381,148012960.0,20425.9
2021-09-15,1.385,1.415,1.376,1.413,149018384.0,20894.08
2021-09-16,1.413,1.43,1.34,1.346,216291600.0,29484.96
2021-09-17,1.332,1.362,1.308,1.346,152892304.0,20441.51
2021-09-22,1.328,1.364,1.32,1.355,87425200.0,11834.21
2021-09-23,1.365,1.377,1.353,1.356,96356704.0,13114.23
2021-09-24,1.353,1.396,1.332,1.371,112027800.0,15347.24
2021-09-27,1.376,1.388,1.317,1.345,109415200.0,14758.35
2021-09-28,1.334,1.358,1.321,1.328,94442496.0,12624.82
2021-09-29,1.315,1.338,1.298,1.307,100420000.0,13219.32
2021-09-30,1.312,1.35,1.306,1.348,94917248.0,12671.99
2021-10-08,1.366,1.375,1.304,1.316,126172400.0,16704.78
2021-10-11,1.315,1.323,1.285,1.302,91858200.0,11989.11
2021-10-12,1.298,1.306,1.258,1.275,107335296.0,13745.47
2021-10-13,1.275,1.324,1.275,1.321,120406640.0,15715.61
2021-10-14,1.32,1.355,1.31,1.34,104409904.0,13994.47
2021-10-15,1.34,1.379,1.325,1.374,117216800.0,15951.38
2021-10-18,1.381,1.412,1.375,1.411,126071400.0,17583.77
2021-10-19,1.412,1.427,1.4,1.413,90538704.0,12781.6
2021-10-20,1.409,1.457,1.401,1.436,119260720.0,17214.86
2021-10-21,1.431,1.436,1.405,1.417,83913000.0,11903.86
2021-10-22,1.418,1.424,1.391,1.395,90871840.0,12762.08
2021-10-25,1.41,1.454,1.401,1.452,127559536.0,18339.95
2021-10-26,1.473,1.476,1.441,1.445,113784360.0,16614.93
2021-10-27,1.452,1.483,1.445,1.481,158289184.0,23315.53
2021-10-28,1.478,1.498,1.453,1.461,132877104.0,19570.9
2021-10-29,1.457,1.495,1.419,1.49,163606608.0,23832.32
2021-11-01,1.488,1.51,1.46,1.478,168757200.0,25124.88
2021-11-02,1.474,1.494,1.451,1.469,146586896.0,21581.1
2021-11-03,1.455,1.465,1.415,1.434,150115744.0,21533.83
2021-11-04,1.441,1.475,1.44,1.462,135105296.0,19736.82
2021-11-05,1.453,1.466,1.434,1.436,110223296.0,15966.22
2021-11-08,1.432,1.482,1.43,1.478,142197600.0,20851.31
2021-11-09,1.496,1.505,1.475,1.489,105651336.0,15732.16
2021-11-10,1.474,1.479,1.436,1.466,171134096.0,24922.13
2021-11-11,1.467,1.482,1.452,1.467,116363840.0,17023.75
2021-11-12,1.471,1.477,1.458,1.47,90782200.0,13333.39
2021-11-15,1.47,1.47,1.411,1.42,199634400.0,28472.33
2021-11-16,1.414,1.422,1.391,1.396,141832000.0,19912.24
2021-11-17,1.4,1.434,1.4,1.431,129021000.0,18324.11
2021-11-18,1.431,1.442,1.407,1.431,113121856.0,16138.58
2021-11-19,1.427,1.45,1.422,1.447,103101608.0,14823.43
2021-11-22,1.453,1.5,1.453,1.499,173585504.0,25785.39
2021-11-23,1.5,1.502,1.485,1.494,78920064.0,11783.35
2021-11-24,1.489,1.496,1.456,1.459,158176192.0,23215.05
2021-11-25,1.458,1.459,1.436,1.443,116803200.0,16862.59
2021-11-26,1.436,1.469,1.436,1.46,105933288.0,15452.87
2021-11-29,1.436,1.493,1.433,1.485,125727104.0,18588.32
2021-11-30,1.492,1.498,1.474,1.486,86785752.0,12900.9
2021-12-01,1.48,1.493,1.458,1.474,88368496.0,12990.51
2021-12-02,1.468,1.478,1.457,1.468,80382432.0,11775.91
2021-12-03,1.467,1.469,1.45,1.468,89322896.0,13045.72
2021-12-06,1.46,1.473,1.435,1.437,153743600.0,22310.53
2021-12-07,1.441,1.448,1.392,1.41,174737504.0,24623.34
2021-12-08,1.414,1.437,1.413,1.434,100850888.0,14402.53
2021-12-09,1.433,1.436,1.418,1.429,79888000.0,11396.61
2021-12-10,1.42,1.456,1.416,1.452,116693112.0,16842.49
