日期,指数,代码,开盘,最高,最低,收盘,涨跌幅(%),成交量,成交额(万元)
2023-07-06,中证2000,932000.CSI,2488.840000,2506.220000,2480.610000,2495.690000,0.079801,18345.000000,22.570000
2023-07-07,中证2000,932000.CSI,2489.650000,2492.980000,2466.340000,2477.290000,-0.737271,18670.000000,22.860000
2023-07-10,中证2000,932000.CSI,2483.070000,2487.470000,2465.900000,2472.490000,-0.193760,16836.000000,20.260000
2023-07-11,中证2000,932000.CSI,2474.290000,2490.820000,2465.910000,2490.820000,0.741358,16913.000000,20.680000
2023-07-12,中证2000,932000.CSI,2490.260000,2494.580000,2452.860000,2454.760000,-1.447716,20411.000000,25.010000
2023-07-13,中证2000,932000.CSI,2457.470000,2480.890000,2457.270000,2479.390000,1.003357,19601.000000,24.360000
2023-07-14,中证2000,932000.CSI,2480.360000,2492.680000,2469.770000,2481.840000,0.098815,20022.000000,25.310000
2023-07-17,中证2000,932000.CSI,2474.300000,2475.650000,2457.790000,2475.650000,-0.249412,18038.000000,22.000000
2023-07-18,中证2000,932000.CSI,2476.280000,2482.700000,2459.850000,2471.490000,-0.168037,18158.000000,22.000000
2023-07-19,中证2000,932000.CSI,2469.960000,2481.120000,2453.380000,2465.870000,-0.227393,16802.000000,20.190000
2023-07-20,中证2000,932000.CSI,2466.980000,2467.870000,2427.970000,2430.770000,-1.423433,18370.000000,21.500000
2023-07-21,中证2000,932000.CSI,2425.670000,2440.430000,2410.300000,2417.260000,-0.555791,17992.000000,19.540000
2023-07-24,中证2000,932000.CSI,2413.730000,2435.120000,2400.990000,2420.290000,0.125349,16927.000000,17.830000
2023-07-25,中证2000,932000.CSI,2436.300000,2455.910000,2431.090000,2455.910000,1.471724,19650.000000,20.890000
2023-07-26,中证2000,932000.CSI,2453.250000,2453.250000,2428.360000,2433.670000,-0.905571,20439.000000,20.400000
2023-07-27,中证2000,932000.CSI,2433.030000,2444.400000,2411.560000,2414.190000,-0.800437,19877.000000,19.230000
2023-07-28,中证2000,932000.CSI,2409.030000,2425.170000,2392.950000,2422.430000,0.341315,20205.000000,19.490000
2023-07-31,中证2000,932000.CSI,2423.670000,2445.070000,2420.590000,2445.070000,0.934599,23102.000000,21.450000
2023-08-01,中证2000,932000.CSI,2443.530000,2443.530000,2424.960000,2437.450000,-0.311648,22226.000000,20.930000
2026-07-21,上证综指,000001.SH,3812.160000,3864.600000,3743.360000,3864.370000,1.793598,735021952.000000,139651760.000000
2026-07-21,上证50,000016.SH,2953.010000,2973.830000,2904.480000,2973.810000,2.092796,81847856.000000,29184786.000000
2026-07-21,沪深300,000300.SH,4630.850000,4739.230000,4566.280000,4739.230000,3.064380,345403584.000000,101672728.000000
2026-07-21,科创50,000688.SH,1747.490000,1904.860000,1663.850000,1903.160000,10.733175,19512744.000000,21305504.000000
2026-07-21,中证1000,000852.SH,6975.890000,7264.340000,6714.190000,7259.860000,4.227766,334989408.000000,57286904.000000
2026-07-21,中证500,000905.SH,7437.450000,7802.750000,7270.950000,7800.610000,5.252783,268381456.000000,60695524.000000
2026-07-21,深证成指,399001.SZ,13656.080000,14264.800000,13364.410000,14264.290000,4.805650,835911360.000000,156057504.000000
2026-07-21,创业板指,399006.SZ,3469.220000,3687.150000,3373.040000,3685.970000,7.053818,266040320.000000,74509192.000000
2026-07-22,上证综指,000001.SH,3839.670000,3884.440000,3839.670000,3867.030000,0.068834,614255232.000000,125814808.000000
2026-07-22,上证50,000016.SH,2954.880000,3008.380000,2954.880000,2991.050000,0.579728,68932544.000000,26834446.000000
2026-07-22,沪深300,000300.SH,4710.660000,4772.080000,4692.830000,4717.240000,-0.463999,285556352.000000,92151928.000000
2026-07-22,科创50,000688.SH,1874.780000,1934.610000,1836.110000,1860.080000,-2.263604,16238611.000000,19291666.000000
2026-07-22,中证1000,000852.SH,7196.860000,7302.450000,7118.660000,7158.760000,-1.392589,291582464.000000,51835760.000000
2026-07-22,中证500,000905.SH,7741.910000,7889.450000,7701.220000,7751.660000,-0.627515,230747280.000000,56907988.000000
2026-07-22,深证成指,399001.SZ,14169.970000,14360.370000,13988.510000,14061.440000,-1.422083,681366336.000000,139519696.000000
2026-07-22,创业板指,399006.SZ,3644.980000,3694.900000,3553.370000,3566.730000,-3.234969,210638944.000000,64227208.000000
2026-07-23,上证综指,000001.SH,3868.090000,3878.830000,3851.710000,3876.780000,0.252131,562122624.000000,102587552.000000
2026-07-23,上证50,000016.SH,3003.500000,3003.500000,2966.900000,2978.770000,-0.410558,57487360.000000,20420714.000000
2026-07-23,沪深300,000300.SH,4735.170000,4737.510000,4698.870000,4728.000000,0.228099,247331680.000000,74181856.000000
2026-07-23,科创50,000688.SH,1876.610000,1876.990000,1770.530000,1789.690000,-3.784246,11924269.000000,13918711.000000
2026-07-23,中证1000,000852.SH,7169.540000,7247.140000,7113.500000,7195.500000,0.513217,250502720.000000,42222108.000000
2026-07-23,中证500,000905.SH,7750.850000,7795.350000,7659.000000,7734.310000,-0.223823,204974416.000000,45303672.000000
2026-07-23,深证成指,399001.SZ,14116.020000,14203.640000,13991.830000,14123.310000,0.439998,625578752.000000,116942584.000000
2026-07-23,创业板指,399006.SZ,3596.730000,3621.730000,3538.110000,3575.520000,0.246444,186725696.000000,51874092.000000
2026-07-24,上证综指,000001.SH,3853.630000,3861.040000,3808.640000,3814.200000,-1.614226,508203904.000000,91536640.000000
2026-07-24,上证50,000016.SH,2971.510000,2971.950000,2941.300000,2956.350000,-0.752660,58354920.000000,18957856.000000
